Row,Type,Size,Charge,Mass,m/z,RT
P_Cluster_1700,2D PEAK CLUSTER,2,1,294.219453418,295.226729885,9.93506717074
P_Cluster_1701,2D PEAK CLUSTER,3,1,295.153254618,296.160531085,3.99259053017
P_Cluster_1702,2D PEAK CLUSTER,2,1,295.162202570,296.169479037,1.49452752622
P_Cluster_1703,2D PEAK CLUSTER,2,1,295.287510662,296.294787128,9.36888260829
P_Cluster_1704,2D PEAK CLUSTER,2,1,296.115674277,297.122950743,4.97352360439
P_Cluster_1705,2D PEAK CLUSTER,2,1,296.119357572,297.126634038,4.31623074799
P_Cluster_1706,2D PEAK CLUSTER,2,1,296.235126612,297.242403079,9.50141901095
P_Cluster_1707,2D PEAK CLUSTER,2,1,296.235044483,297.242320950,10.3661579688
P_Cluster_1708,2D PEAK CLUSTER,2,1,296.232468889,297.239745356,11.0756789178
P_Cluster_1709,2D PEAK CLUSTER,2,1,296.282793399,297.290069866,6.95268580747
P_Cluster_1710,2D PEAK CLUSTER,2,1,297.054384999,298.061661466,1.25507124980
P_Cluster_1711,2D PEAK CLUSTER,2,1,297.089480023,298.096756490,3.29979458804
P_Cluster_1712,2D PEAK CLUSTER,2,1,297.121027526,298.128303993,2.93848648609
P_Cluster_1713,2D PEAK CLUSTER,2,1,297.266906520,298.274182986,8.56248082410
P_Cluster_1714,2D PEAK CLUSTER,2,1,297.266944266,298.274220733,8.69202714263
P_Cluster_1715,2D PEAK CLUSTER,2,1,298.046342482,299.053618949,4.14335391658
P_Cluster_1716,2D PEAK CLUSTER,2,1,298.129173650,299.136450116,4.48402318019
P_Cluster_1717,2D PEAK CLUSTER,2,1,298.250794881,299.258071348,10.7366810730
P_Cluster_1718,2D PEAK CLUSTER,2,1,298.250910480,299.258186946,11.0531006608
P_Cluster_1719,2D PEAK CLUSTER,2,1,299.157744940,300.165021407,1.47242337572
P_Cluster_1720,2D PEAK CLUSTER,2,1,299.282586089,300.289862556,9.03852284256
P_Cluster_1721,2D PEAK CLUSTER,2,1,300.062861876,301.070138343,6.59672310851
P_Cluster_1722,2D PEAK CLUSTER,2,1,300.099554526,301.106830992,9.02435667044
P_Cluster_1723,2D PEAK CLUSTER,2,1,300.133541295,301.140817762,10.2611889889
P_Cluster_1724,2D PEAK CLUSTER,2,1,300.208497969,301.215774436,9.09774617035
P_Cluster_1725,2D PEAK CLUSTER,2,1,300.230191363,301.237467830,9.41348250943
P_Cluster_1726,2D PEAK CLUSTER,2,1,301.058874187,302.066150654,5.64661154504
P_Cluster_1727,2D PEAK CLUSTER,2,1,301.200063606,302.207340073,4.48782020477
P_Cluster_1728,2D PEAK CLUSTER,2,1,301.200086002,302.207362468,3.33307348741
P_Cluster_1729,2D PEAK CLUSTER,2,1,301.297963195,302.305239662,9.27396341575
P_Cluster_1730,2D PEAK CLUSTER,2,1,302.099884148,303.107160615,3.00509252573
P_Cluster_1731,2D PEAK CLUSTER,2,1,302.099440865,303.106717332,3.09238167262
P_Cluster_1732,2D PEAK CLUSTER,3,1,302.098957676,303.106234143,3.23454457713
P_Cluster_1733,2D PEAK CLUSTER,2,1,302.103008193,303.110284660,6.39297322200
P_Cluster_1734,2D PEAK CLUSTER,2,1,302.105514400,303.112790867,7.12567005724
P_Cluster_1735,2D PEAK CLUSTER,2,1,302.245786916,303.253063383,10.8706084217
P_Cluster_1736,2D PEAK CLUSTER,2,1,303.158087128,304.165363595,4.27720121491
P_Cluster_1737,2D PEAK CLUSTER,2,1,303.256145539,304.263422006,9.20277680609
P_Cluster_1738,2D PEAK CLUSTER,3,1,303.292304229,304.299580696,9.20415089925
P_Cluster_1739,2D PEAK CLUSTER,2,1,303.329002443,304.336278910,9.20183843479
P_Cluster_1740,2D PEAK CLUSTER,2,1,304.121159406,305.128435872,7.39994272859
P_Cluster_1741,2D PEAK CLUSTER,2,1,304.126889050,305.134165517,1.25772521518
P_Cluster_1742,2D PEAK CLUSTER,2,1,304.149572291,305.156848758,3.54351770896
P_Cluster_1743,2D PEAK CLUSTER,2,1,304.153668905,305.160945372,3.88024163756
P_Cluster_1744,2D PEAK CLUSTER,2,1,305.993978271,307.001254737,4.56240609473
P_Cluster_1745,2D PEAK CLUSTER,2,1,306.039836818,307.047113285,2.48271554425
P_Cluster_1746,2D PEAK CLUSTER,2,1,306.144445623,307.151722090,7.04871975916
P_Cluster_1747,2D PEAK CLUSTER,2,1,306.169245864,307.176522331,3.63095723364
P_Cluster_1748,2D PEAK CLUSTER,3,1,306.169208555,307.176485022,3.98195899876
P_Cluster_1749,2D PEAK CLUSTER,2,1,306.183213139,307.190489606,6.90743818158
